gem,version,category,description,homepage,context7_id
active_model_serializers,,genai,,,
activerecord,,media,,,
activesupport,,misc,,,
addressable,,misc,,,
adsf,~> 1.5,web,,,
afm,,misc,,,
agent-context,,rag,,,
ahoy_matey,,genai,,,
aia,~> 0.11.1,rag,,,
aigcm,,misc,,,
algorithms,~> 1.0,misc,,,/kanwei/algorithms
amatch,,misc,,,
amazing_print,~> 1.8,misc,,,
ansi_palette,,agentic,,,
appmap,~> 1.1,agentic,,,
asciidoctor,,agentic,,,
asciidoctor-pdf,,agentic,,,
assemblyai,~> 1.2,agentic,,,
async,,rag,,,/socketry/async
async-cable,,rag,,,
async-http,,rag,,,
async-job,,rag,,,
async-job-processor-redis,,rag,,,
async-service,,rag,,,
aubio,~> 0.3.6,nlp,,,
awesome_print,,misc,,,
aws-sdk-s3,,genai,,,
banjo,,media,,,
base64,,misc,,,
bcrypt_pbkdf,,misc,,,
beckett,~> 0.1.0,agentic,,,
benchmark,~> 0.4.1,nlp,,,
better_errors,,genai,,,
bigdecimal,,misc,,,
binding_of_caller,,genai,,,
bm25f,~> 0.1.0,rag,,,
bootsnap,,genai,,,
brakeman,,genai,,,
browser,,genai,,,
bubbles,,misc,,,
bubbletea,,misc,,,/marcoroth/bubbletea-ruby
bubblezone,,rag,,,
builder,,misc,,,
bundler-audit,,genai,,,
caliber,~> 0.67.0,misc,,,
capybara,,misc,,,
charm,,rag,,,
childprocess,,misc,,,
chroma-db,,misc,,,
chronic,~> 0.10.2,agentic,,,
circuit_breaker,~> 1.1,rag,,,
claude_swarm,,devops,,,
cli-ui,,agentic,,,
clipboard,~> 2.0,rag,,,
color,,agentic,,,
colorize,0.8.1,rag,,,
coltrane,,misc,,,
commonmarker,,agentic,,,
concurrent-ruby,,misc,,,
countries,~> 8.1,genai,,,
cssbundling-rails,,genai,,,
csv,~> 3.3,nlp,,,
csvreader,,misc,,,
cucumber-ruby,,rag,,,
curses,~> 1.4,rag,,,
cvless,~> 2.7,web,,,
daemons,,devops,,,
daru,,rag,,,
daru-view,,rag,,,
database_cleaner,,misc,,,
debug,1.8.0,rag,,,
debug_me,,rag,,,
decode,,rag,,,/socketry/decode
deepsearch-rb,,rag,,,
devise,~> 5.0,genai,,,
dotenv,~> 2.8,misc,,,/bkeepers/dotenv
dotenv-rails,,genai,,,
down,~> 5.4,agentic,,,
dry-auto_inject,,rag,,,
dry-configurable,~> 1.0,rag,,,
dry-container,~> 0.11.0,rag,,,
dry-logger,,devops,,,
dry-monads,~> 1.9,rag,,,
dry-schema,,rag,,,/dry-rb/dry-schema
dry-struct,,rag,,,
dry-types,,rag,,,
drydock,~> 0.6.9,rag,,,
dspy,,rag,,,
dspy-code_act,,devops,,,
dspy-deep_research,,devops,,,
dspy-deep_search,,devops,,,
dspy-evals,,devops,,,
dspy-gemini,,devops,,,
dspy-gepa,,devops,,,
dspy-o11y-langfuse,,devops,,,
dspy-openai,,devops,,,
dspy-ruby_llm,,rag,,,
dspy-schema,,devops,,,
ed25519,,misc,,,
engtagger,,misc,,,
erb,,rag,,,
evdev,,media,,,
eventmachine,,misc,,,
facets,,misc,,,
factory_bot,~> 6.5,genai,,,
factory_bot_rails,,misc,,,
faker,,misc,,,
fakeredis,,agentic,,,
falcon,~> 0.45,rag,,,
faraday,,rag,,,
faraday-multipart,~> 1.2,rag,,,
fastlane,,genai,,,
ffi,~> 1.17,misc,,,
fiddle,~> 1.1,rag,,,
fileutils,~> 1.7,misc,,,
finishing_moves,,misc,,,
fractional,,misc,,,
front_matter_parser,~> 1.0,rag,,,
fuzzy-string-match,,misc,,,
fuzzy_tools,,rag,,,
gemoji,,rag,,,
geo_coord,,misc,,,
geoip,,misc,,,
git,~> 3.1,rag,,,
git-lint,~> 8.8,misc,,,
github-markup,,nlp,,,
github-pages,,web,,,
glamour,,misc,,,
gli,~> 2.21,misc,,,
glimmer,,misc,,,
glimmer-dsl-libui,,misc,,,
gokdok,0.4.2,misc,,,
google-apis-customsearch_v1,~> 0.24.0,rag,,,
google-apis-drive_v3,~> 0.61.0,rag,,,
google-cloud-ai_platform-v1,,devops,,,
google-cloud-translate,~> 3.7,rag,,,
google-cloud-translate-v2,~> 1.1,rag,,,
google-protobuf,3.25.0,plugin,,,
google_custom_search_api,~> 2.0,rag,,,
google_drive,~> 1.0,agentic,,,
google_search_results,,rag,,,
googleauth,~> 1.13,rag,,,
gosu,,media,,,
graphql,,devops,,,
grit,~> 2.5.0,misc,,,
groq,,rag,,,
gum,~> 0.3.2,rag,,,
gush,,rag,,,
hacked-jekyll,~> 3.1,web,,,
haml,,misc,,,
harmonica,,rag,,,
hashery,,misc,,,
hashie,,rag,,,
highline,1.7.8,misc,,,
hotwater,,misc,,,
html-proofer,,misc,,,
httparty,~> 0.21.0,devops,,,
httpx,,misc,,,
hugging-face,~> 0.3.2,rag,,,
huh,,rag,,,
i18n,,misc,,,
i3ipc,,misc,,,
image_processing,~> 1.2,genai,,,
importmap-rails,,genai,,,
inertia_rails,~> 3.19,genai,,,
informers,~> 1.0,rag,,,
iniparse,,misc,,,
io-console,0.6.0,misc,,,
irb,1.8.3,misc,,,
irb-kit,~> 1.1,misc,,,
iruby,~> 0.8.0,agentic,,,
jbuilder,,genai,,,
jekyll,~> 4.4,misc,,,
jekyll-asciinema,,web,,,
jekyll-compose,,web,,,
jekyll-default-layout,,web,,,
jekyll-feed,~> 0.12,web,,,
jekyll-figure,,web,,,
jekyll-gist,,web,,,
jekyll-include-cache,,web,,,
jekyll-jupyter-notebook,,web,,,
jekyll-last-modified-at,,web,,,
jekyll-link-attributes,,web,,,
jekyll-optional-front-matter,,misc,,,
jekyll-paginate-v2,,web,,,
jekyll-pandoc,,web,,,
jekyll-postcss-v2,,web,,,
jekyll-react-player,,web,,,
jekyll-redirect-from,~> 0.16,misc,,,
jekyll-relative-links,,misc,,,
jekyll-remote-theme,,misc,,,
jekyll-sass-converter,,web,,,
jekyll-seo-tag,,misc,,,
jekyll-sitemap,,misc,,,
jekyll-spaceship,,web,,,
jekyll-tabs,,web,,,
jekyll-tagging-related_posts,,web,,,
jekyll-target-blank,,web,,,
jekyll-titles-from-headings,,misc,,,
jekyll-toc,,web,,,
jekyll-typogrify,,web,,,
jekyll_picture_tag,,web,,,
jemoji,,web,,,
jeweler,~> 2.3.0,misc,,,
jongleur,,rag,,,
journald-logger,,rag,,,
js-routes,~> 2.3,genai,,,
jsbundling-rails,,genai,,,
json,~> 2.6,misc,,,
json-schema,,web,,,
json_canvas,,web,,,
json_schemer,,misc,,,
jsonl,,rag,,,
jsonlint,,rag,,,
kamal,,genai,,,
kramdown,~> 2.5,misc,,,
kramdown-parser-gfm,,web,,,
kreuzberg,~> 4.6,rag,,,/websites/kreuzberg_dev_reference
langchainrb,,rag,,,
langchainrb_rails,,genai,,,
langfuse,,rag,,,
lemmatizer,,misc,,,
letter_opener,,genai,,,
libarchive-ruby-swig,,misc,,,
lingua,~> 0.6.2,misc,,,
linguistics,~> 2.1,rag,,,
linkparser,~> 2.3,rag,,,
lint_roller,,misc,,,
lipgloss,,misc,,,
listen,,misc,,,
llm-docs-builder,,devops,,,
logger,,misc,,,
logging,,plugin,,,
loofah,,devops,,,
madeleine,0.9.0,misc,,,
mailfactory,,misc,,,
maxitest,~> 7.0,tui,,,
maxminddb,,genai,,,
mdl,,misc,,,
meta_project,~> 0.4.0,misc,,,
method_source,,misc,,,
midi-eye,,media,,,
mime-types,,rag,,,
mimemagic,~> 0.4.3,rag,,,
mini_magick,~> 4.12,nlp,,,
mini_portile,,misc,,,
minitest,~> 5.0,misc,,,
minitest-focus,,agentic,,,
minitest-hooks,,agentic,,,
minitest-reporters,,agentic,,,
minitest-rg,,agentic,,,
mission_control-jobs,~> 1.1,genai,,,
mocha,,misc,,,
mp3info,,misc,,,
multi_json,,misc,,,
mutex,~> 1.0,rag,,,
mutex_m,~> 0.3.0,rag,,,
mysql2,,misc,,,
nano-bots,~> 3.4,misc,,,
nanoc,~> 4.13,web,,,
natty-ui,,agentic,,,
neighbor,,rag,,,
net-http,~> 0.3,genai,,,
net-ping,,misc,,,
net-ssh,,misc,,,
net-ssh-gateway,,misc,,,
nokogiri,~> 1.15,misc,,,
ntcharts,,rag,,,
numpy,~> 0.4.0,misc,,,
ohm,~> 3.1,misc,,,
ohm-contrib,,rag,,,
ohm-sorted,~> 0.4.1,agentic,,,
oj,,rag,,,
ollama-ai,,devops,,,
omdbapi,0.3.0,media,,,
omniauth,,genai,,,
omniauth-google-oauth2,~> 1.2,genai,,,
omniauth-rails_csrf_protection,~> 2.0,genai,,,
open-uri,,misc,,,
open3,,misc,,,
open4,~> 1.3,rag,,,
open_router,~> 0.3.3,agentic,,,
openssl,,devops,,,
os,~> 1.1,rag,,,
osc-ruby,,misc,,,
ostruct,~> 0.6.0,genai,,,
overcommit,>= 0.66,web,,,
pagy,~> 43.3,genai,,,
paint,,agentic,,,
parallel,,misc,,,
parallel_tests,,misc,,,
parseconfig,,plugin,,,
pastel,,rag,,,
patchelf,,misc,,,
pdf-reader,~> 2.14,rag,,,
pdfkit,,agentic,,,
pg,~> 1.1,rag,,,
pg_search,~> 2.3,genai,,,
pgvector,~> 0.2,misc,,,
phlex-rails,,genai,,,
plist,,misc,,,
poltergeist,,misc,,,
polyglot,,rag,,,
poppler,,rag,,,
pragmatic_segmenter,~> 0.3.24,misc,,,
pragmatic_tokenizer,~> 3.2,misc,,,
progressbar,1.8.2,media,,,
prompt_manager,,rag,,,
propshaft,,genai,,,
pry,~> 0.14.2,misc,,,/websites/rdoc_info_github_pry_pry_master
pry-bond,~> 0.0.1,rag,,,
pry-byebug,,rag,,,
pry-doc,~> 1.6,misc,,,
pry-rails,,genai,,,
pry-stack_explorer,,rag,,,
psych,5.1.1.1,rag,,,
puma,>= 5.0,rag,,,
pundit,,genai,,,
pycall,~> 1.5,misc,,,
racc,,web,,,
rack,~> 3.1,genai,,,
rack-cors,,genai,,,
rack-test,~> 2.1,misc,,,
rackup,~> 2.2,rag,,,
rails,>= 7.1.3.4,genai,,,
rainbow,,misc,,,
rake-compiler,~> 1.2,misc,,,
rake-compiler-dock,~> 1.11,tui,,,
ratelimit,,rag,,,
rb-readline,,agentic,,,
rbs,~> 3.9,rag,,,
rbs-inline,~> 0.12,tui,,,
rdf,~> 3.3,nlp,,,
rdf-turtle,~> 3.3,nlp,,,
rdoc,6.5.0,misc,,,
rdoc-rake,~> 1.0.0,misc,,,
redcarpet,,rag,,,
redic,,rag,,,
redis,>= 4.0.1,misc,,,
redis-client,,rag,,,
redis-namespace,,agentic,,,
refinements,,rag,,,
regexp_parser,,misc,,,
reline,0.3.9,rag,,,
reverse_markdown,~> 3.0,genai,,,
rexml,,misc,,,
rllama,,devops,,,
rooibos,~> 0.7.3,misc,,,
rorvswild_theme_rdoc,~> 0.1,agentic,,,
rouge,,misc,,,
rspec,3.5.0,misc,,,
rspec-core,,misc,,,
rspec-expectations,,misc,,,
rspec-github,,misc,,,
rspec-rails,,genai,,,
rspec-retry,,misc,,,
rspec-sorbet,,misc,,,
rspec_junit_formatter,,misc,,,
rswag-specs,,misc,,,
rsyntaxtree,,misc,,,
rubocop,>= 1.70,misc,,,
rubocop-ast,,misc,,,
rubocop-factory_bot,,rag,,,
rubocop-jekyll,,web,,,
rubocop-md,,misc,,,
rubocop-minitest,,misc,,,
rubocop-packaging,,misc,,,
rubocop-performance,,misc,,,
rubocop-rails,,genai,,,
rubocop-rails-omakase,,genai,,,
rubocop-rake,,misc,,,
rubocop-rspec,,misc,,,
rubocop-sequel,,misc,,,
rubocop-shopify,,misc,,,
rubocop-sorbet,,misc,,,
rubocop-thread_safety,,misc,,,
ruby-lsp,~> 0.23.11,misc,,,
ruby-macho,,misc,,,
ruby-mcp-client,~> 0.5.2,rag,,,
ruby-openai,,misc,,,
ruby-prof,,misc,,,
ruby-progressbar,,misc,,,
ruby-rc4,,misc,,,
ruby-sox,,media,,,
ruby-spacy,~> 0.2.0,misc,,,
ruby-vips,,misc,,,
ruby_llm,~> 1.3,misc,,,/crmne/ruby_llm
ruby_llm-mcp,~> 0.6.1,rag,,,
ruby_llm-schema,~> 0.2.1,misc,,,
rubyfca,,rag,,,
rubyzip,~> 2.4,rag,,,
rugged,,misc,,,
runt,,misc,,,
rwordnet,~> 0.1.0,rag,,,
sass,~> 3.7.4,rag,,,
sassc-rails,,genai,,,
scalpel,,agentic,,,
securerandom,,misc,,,
selenium-webdriver,,genai,,,
sequel,~> 5.7,misc,,,/jeremyevans/sequel
sequel_pg,,rag,,,
shale,,agentic,,,
shared_tools,~> 0.4.2,rag,,,
shoulda,,misc,,,
shoulda-callback-matchers,,genai,,,
shoulda-matchers,,genai,,,
sidekiq,~> 7.0,genai,,,
simplecov,~> 0.22,misc,,,
simplecov-cobertura,,misc,,,
sinatra,~> 3.0,misc,,,
sinatra-contrib,,rag,,,
sinatra-cross_origin,,genai,,,
slim,,rag,,,
soap4r,,misc,,,
socksify,,misc,,,
solargraph,~> 0.48.0,misc,,,
solid_cable,,genai,,,
solid_cache,,genai,,,
solid_queue,,genai,,,
sorbet-runtime,0.5.11116,misc,,,
sorbet-static-and-runtime,,misc,,,
spoom,,misc,,,
sprockets,,rag,,,
sprockets-rails,,genai,,,
sqlite3,,rag,,,
srt,,rag,,,
stackprof,,misc,,,
standard,~> 1.3,misc,,,
standardrb,,misc,,,
steep,~> 1.10,tui,,,
stimulus-rails,,genai,,,
stopwords-filter,,misc,,,
stream_lines,,agentic,,,
streamio-ffmpeg,3.0.2,media,,,
stringio,3.0.8,plugin,,,
sublayer,~> 0.2.8,genai,,,
swagger-blocks,~> 3.0,misc,,,
symmetric-encryption,,misc,,,
sync,,misc,,,
sys-proctable,,misc,,,
table_tennis,~> 0.0.6,misc,,,
tabula,~> 0.0.1,agentic,,,
taglib-ruby,,media,,,
tailwindcss-rails,,genai,,,
tapioca,,misc,,,
terminal-table,,misc,,,
terrapin,~> 1.1,rag,,,
test-prof,,misc,,,
test-unit,,misc,,,
text,,misc,,,
tf-idf-similarity,,rag,,,/jpmckinney/tf-idf-similarity
therubyracer,~> 0.12.3,web,,,
thor,~> 1.2,rag,,,
thruster,,genai,,,
timecop,,misc,,,
timeout,~> 0.6.1,rag,,,
tk,,misc,,,
tocer,~> 19.2,rag,,,
tokenizers,,rag,,,
tomoto,,agentic,,,
tool_tailor,,agentic,,,
treetop,~> 1.6,rag,,,
ttfunk,,misc,,,
tty-box,~> 0.7,misc,,,
tty-command,~> 0.10.1,misc,,,
tty-config,~> 0.5,misc,,,
tty-cursor,~> 0.7.1,rag,,,
tty-editor,~> 0.7,rag,,,
tty-exit,,rag,,,
tty-file,~> 0.10.0,rag,,,
tty-font,,rag,,,
tty-link,~> 0.2.0,rag,,,
tty-logger,~> 0.6.0,rag,,,
tty-markdown,~> 0.7,misc,,,
tty-option,~> 0.3.0,rag,,,
tty-pager,~> 0.14.0,rag,,,
tty-progressbar,~> 0.18.3,misc,,,
tty-prompt,~> 0.23,misc,,,
tty-reader,~> 0.9.0,rag,,,
tty-screen,~> 0.8.2,misc,,,
tty-spinner,~> 0.9.3,misc,,,
tty-table,~> 0.12,misc,,,
tty-tree,~> 0.4.0,rag,,,
tty-which,~> 0.5.0,rag,,,
turbo-rails,,genai,,,
tzinfo-data,,genai,,,
uglifier,~> 4.2.1,web,,,
unicode-display_width,~> 2.5,misc,,,
unimidi,,media,,,
vcr,,misc,,,
vernier,,misc,,,
vite_rails,~> 3.0,genai,,,
warning,,misc,,,
watir,~> 7.3,rag,,,
wav-file,~> 0.0.3,agentic,,,
wavefile,,misc,,,
wdm,,web,,,
web-console,,genai,,,
webdrivers,,genai,,,
webmock,,misc,,,
webrick,~> 1.8,misc,,,
webvtt,,rag,,,
wordnet,~> 1.2,misc,,,
wordnet-defaultdb,~> 2.0,rag,,,
xml-simple,,misc,,,
yajl-ruby,~> 1.4,misc,,,
yaml,,rag,,,
yard,~> 0.9,misc,,,
yard-sorbet,,misc,,,
zeitwerk,~> 2.6,rag,,,
zip,~> 2.0,agentic,,,
